body_length,wing_length,body_width,wing_width,(wing_length*wing_width)^2,type
3,5,1.6,0.2,1,LongEaredOwl
3.2,4.7,1.6,0.2,0.830584,LongEaredOwl
3.4,4.6,1.4,0.3,2.628072,LongEaredOwl
3.6,5,1.4,0.2,1,LongEaredOwl
4.1,5.2,1.5,0.1,0.140608,LongEaredOwl
3,4.9,1.4,0.2,0.941192,LongEaredOwl
3.3,5.1,1.7,0.5,16.581375,LongEaredOwl
3.4,4.8,1.6,0.2,0.884736,LongEaredOwl
3.7,5.1,1.5,0.4,8.489664,LongEaredOwl
3.1,4.9,1.5,0.1,0.117649,LongEaredOwl
3.6,4.6,1,0.2,0.778688,LongEaredOwl
3.9,5.4,1.7,0.4,10.077696,LongEaredOwl
3,4.3,1.1,0.1,0.079507,LongEaredOwl
2.9,4.4,1.4,0.2,0.681472,LongEaredOwl
3.4,5,1.5,0.2,1,LongEaredOwl
3.5,5.1,1.4,0.2,1.061208,LongEaredOwl
3.2,5,1.2,0.2,1,LongEaredOwl
3.8,5.1,1.9,0.4,8.489664,LongEaredOwl
3,4.8,1.4,0.3,2.985984,LongEaredOwl
4.2,5.5,1.4,0.2,1.331,LongEaredOwl
3.7,5.4,1.5,0.2,1.259712,LongEaredOwl
3,4.8,1.4,0.1,0.110592,LongEaredOwl
3.3,5,1.4,0.2,1,LongEaredOwl
3.2,4.7,1.3,0.2,0.830584,LongEaredOwl
3.5,5.1,1.4,0.3,3.581577,LongEaredOwl
3.4,4.8,1.9,0.2,0.884736,LongEaredOwl
3.4,5.4,1.5,0.4,10.077696,LongEaredOwl
3.8,5.1,1.5,0.3,3.581577,LongEaredOwl
3,4.4,1.3,0.2,0.681472,LongEaredOwl
3.5,5,1.3,0.3,3.375,LongEaredOwl
3.5,5,1.6,0.6,27,LongEaredOwl
3.9,5.4,1.3,0.4,10.077696,LongEaredOwl
3.1,4.6,1.5,0.2,0.778688,LongEaredOwl
3.8,5.7,1.7,0.3,5.000211,LongEaredOwl
4,5.8,1.2,0.2,1.560896,LongEaredOwl
3.7,5.3,1.5,0.2,1.191016,LongEaredOwl
3.4,5,1.6,0.4,8,LongEaredOwl
3.2,4.4,1.3,0.2,0.681472,LongEaredOwl
3.4,5.4,1.7,0.2,1.259712,LongEaredOwl
3.2,4.6,1.4,0.2,0.778688,LongEaredOwl
3.5,5.5,1.3,0.2,1.331,LongEaredOwl
3.1,4.8,1.6,0.2,0.884736,LongEaredOwl
3.1,4.9,1.5,0.1,0.117649,LongEaredOwl
3.4,5.2,1.4,0.2,1.124864,LongEaredOwl
2.3,4.5,1.3,0.3,2.460375,LongEaredOwl
2.8,6.4,5.6,2.1,2427.715584,SnowyOwl
3.2,6.4,5.3,2.3,3189.506048,SnowyOwl
2.8,6.2,4.8,1.8,1389.928896,SnowyOwl
2.5,6.3,5,1.9,1715.072373,SnowyOwl
3,6.1,4.9,1.8,1323.753192,SnowyOwl
3.3,6.3,6,2.5,3906.984375,SnowyOwl
2.6,7.7,6.9,2.3,5554.637011,SnowyOwl
2.7,6.3,4.9,1.8,1458.274104,SnowyOwl
2.5,4.9,4.5,1.7,578.009537,SnowyOwl
3,5.9,5.1,1.8,1197.770328,SnowyOwl
3.1,6.4,5.5,1.8,1528.823808,SnowyOwl
3.8,7.7,6.7,2.2,4861.163384,SnowyOwl
3.4,6.2,5.4,2.3,2899.736776,SnowyOwl
3.2,6.8,5.9,2.3,3825.694144,SnowyOwl
3.1,6.9,5.1,2.3,3996.969003,SnowyOwl
3,6.8,5.5,2.1,2911.954752,SnowyOwl
3.3,6.7,5.7,2.5,4699.421875,SnowyOwl
3.2,6.9,5.7,2.3,3996.969003,SnowyOwl
3,7.6,6.6,2.1,4065.356736,SnowyOwl
2.8,6.4,5.6,2.2,2791.309312,SnowyOwl
2.2,6,5,1.5,729,SnowyOwl
2.9,7.3,6.3,1.8,2268.747144,SnowyOwl
3,7.1,5.9,2.1,3314.613771,SnowyOwl
3,7.2,5.8,1.6,1528.823808,SnowyOwl
3,6,4.8,1.8,1259.712,SnowyOwl
2.8,5.6,4.9,2,1404.928,SnowyOwl
2.9,6.3,5.6,1.8,1458.274104,SnowyOwl
2.7,5.8,5.1,1.9,1338.273208,SnowyOwl
2.7,5.8,5.1,1.9,1338.273208,SnowyOwl
2.5,6.7,5.8,1.8,1754.049816,SnowyOwl
2.8,6.3,5.1,1.5,843.908625,SnowyOwl
3.3,6.7,5.7,2.1,2785.366143,SnowyOwl
3.2,7.2,6,1.8,2176.782336,SnowyOwl
2.5,5.7,5,2,1481.544,SnowyOwl
3.4,6.3,5.6,2.4,3456.649728,SnowyOwl
3.1,6.9,5.4,2.1,3042.321849,SnowyOwl
3,6.5,5.2,2,2197,SnowyOwl
3,7.7,6.1,2.3,5554.637011,SnowyOwl
2.8,7.4,6.1,1.9,2779.431416,SnowyOwl
2.8,7.7,6.7,2,3652.264,SnowyOwl
3.6,7.2,6.1,2.5,5832,SnowyOwl
2.6,6.1,5.6,1.4,622.835864,SnowyOwl
3,6.7,5.2,2.3,3659.383421,SnowyOwl
3,6.5,5.8,2.2,2924.207,SnowyOwl
2.7,6.4,5.3,1.9,1798.045696,SnowyOwl
2.7,5.6,4.2,1.3,385.828352,BarnOwl
3,5.9,4.2,1.5,693.154125,BarnOwl
3,6.1,4.6,1.4,622.835864,BarnOwl
2.3,5.5,4,1.3,365.525875,BarnOwl
2.8,5.7,4.1,1.3,406.869021,BarnOwl
3,5.6,4.5,1.5,592.704,BarnOwl
2.8,6.8,4.8,1.4,862.801408,BarnOwl
3.1,6.7,4.4,1.4,825.293672,BarnOwl
2.5,5.5,4,1.3,365.525875,BarnOwl
2.9,6.2,4.3,1.3,523.606616,BarnOwl
3.1,6.9,4.9,1.5,1108.717875,BarnOwl
2.4,5.5,3.8,1.1,221.445125,BarnOwl
2.8,6.1,4.7,1.2,392.223168,BarnOwl
3,6.7,5,1.7,1477.648619,BarnOwl
2.8,6.1,4,1.3,498.677257,BarnOwl
2.9,6.4,4.3,1.3,575.930368,BarnOwl
2.7,6,5.1,1.6,884.736,BarnOwl
2.7,5.8,4.1,1,195.112,BarnOwl
2.6,5.8,4,1.2,337.153536,BarnOwl
3,5.7,4.2,1.2,320.013504,BarnOwl
2.4,5.5,3.7,1,166.375,BarnOwl
2.5,5.1,3,1.1,176.558481,BarnOwl
3.4,6,4.5,1.6,884.736,BarnOwl
2.3,5,3.3,1,125,BarnOwl
2.9,5.7,4.2,1.3,406.869021,BarnOwl
2.7,5.8,3.9,1.2,337.153536,BarnOwl
2.6,5.5,4.4,1.2,287.496,BarnOwl
2,5,3.5,1,125,BarnOwl
2.5,5.6,3.9,1.1,233.744896,BarnOwl
3,5.4,4.5,1.5,531.441,BarnOwl
2.3,6.3,4.4,1.3,549.353259,BarnOwl
2.8,6.5,4.6,1.5,926.859375,BarnOwl
3,6.6,4.4,1.4,788.889024,BarnOwl
2.9,6,4.5,1.5,729,BarnOwl
2.7,5.2,3.9,1.4,385.828352,BarnOwl
2.5,6.3,4.9,1.5,843.908625,BarnOwl
3.2,6.4,4.5,1.5,884.736,BarnOwl
2.9,6.1,4.7,1.4,622.835864,BarnOwl
2.9,5.6,3.6,1.3,385.828352,BarnOwl
2.2,6,4,1,216,BarnOwl
3.3,6.3,4.7,1.6,1024.192512,BarnOwl
3.1,6.7,4.7,1.5,1015.075125,BarnOwl
2.9,6.6,4.6,1.3,631.628712,BarnOwl
3,5.6,4.1,1.3,385.828352,BarnOwl
3.2,5.9,4.8,1.8,1197.770328,BarnOwl
